2026-04-25 01:42:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:36 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:46 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:51 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:56 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:01 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:06 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:11 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:16 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:21 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:26 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:36 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:46 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:52 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:43:57 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:02 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:12 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:17 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:22 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:27 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:32 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:37 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:42 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:42 INFO  SELL_EXECUTED [US] BAIG mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=3.0398 qty=98 reason=TIME_STOP_SOFT pnl=-0.33% peakPnl=0.00% holdMs=302263 high=3.0501 avgPrice=3.0500 weightedPnl=-0.33% dailyPnl=-1.39%
2026-04-25 01:44:45 WARN  SELL_REJECTED BAIG reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 01:44:47 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:52 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:52 INFO  SELL_EXECUTED [US] BAIG mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=3.0398 qty=98 reason=TIME_STOP_SOFT pnl=-0.33% peakPnl=0.00% holdMs=312374 high=3.0501 avgPrice=3.0500 weightedPnl=-0.33% dailyPnl=-1.39%
2026-04-25 01:44:52 WARN  SELL_REJECTED BAIG reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 01:44:57 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:44:57 INFO  SELL_EXECUTED [US] BAIG mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=3.0398 qty=98 reason=TIME_STOP_SOFT pnl=-0.33% peakPnl=0.00% holdMs=317557 high=3.0501 avgPrice=3.0500 weightedPnl=-0.33% dailyPnl=-1.39%
2026-04-25 01:45:02 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:45:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:45:12 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:45:12 WARN  SELL pending timeout cleared for BAIG
2026-04-25 01:45:12 INFO  SELL_EXECUTED [US] BAIG mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=3.0398 qty=98 reason=TIME_STOP_SOFT pnl=-0.33% peakPnl=0.00% holdMs=332638 high=3.0501 avgPrice=3.0500 weightedPnl=-0.33% dailyPnl=-1.72%
2026-04-25 01:45:17 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 08:33:08 INFO  BUY [US] NVDL mode=BREAKOUT price=101.9600 qty=2 size=0.8000x score=67 | WHY: strongBreakout retestOK multiUp vol(1.54x) | VWAP: 0.16%(ABOVE slope=UP) | TREND: score=2 vel=0.03%/0.04%/-0.01% | VOL: 1002.0000/648.5500 TO: 102193.9800/66118.6391 | entryNo=2
