2026-04-23 00:53:57 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:02 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:07 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:17 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:22 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:27 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:32 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:37 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:42 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:47 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:52 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:54:57 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:02 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:07 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:18 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:23 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:28 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:33 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:38 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:43 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:48 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:53 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:55:58 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:03 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:08 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:13 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:18 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:23 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:28 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:33 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:38 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:43 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:48 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:53 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:56:58 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:03 INFO  BUY_FILLED AXTI phase=HOLDING
