2026-04-22 05:13:08 WARN  BUY_SKIP [US] SMU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 05:13:23 WARN  BUY_SKIP [US] SMU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 05:27:09 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 05:27:24 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 05:34:07 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 05:34:22 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:01:08 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:01:23 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:40:05 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:40:20 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:45:07 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 06:45:22 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:03:10 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:03:25 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:15:05 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:15:20 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:31:07 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:31:22 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:58:08 WARN  BUY_SKIP [US] BAIG reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 07:58:23 WARN  BUY_SKIP [US] BAIG reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:02:09 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:02:24 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:04:05 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:04:20 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:19:06 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:19:06 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:19:21 WARN  BUY_SKIP [US] ETHU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:19:26 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:28:06 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:28:21 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:29:06 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:29:21 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:30:06 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:30:21 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:35:09 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:35:24 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:36:09 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:36:25 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:40:06 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:40:21 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:42:07 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 08:42:22 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 10:08:11 INFO  BUY amount set for 027360: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 018470: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 011930: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 008350: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 092220: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 001250: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 209640: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 051980: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 024740: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 171120: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 452190: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 900100: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 073570: 500000.00
2026-04-22 10:08:11 INFO  BUY amount set for 294140: 500000.00
